"","Estimate","Std. Error","Lower","Upper"
"model_cal_13.e:1:0.5",69.1223888208858,4.20137586300347,60.4863370516785,77.758440590093
"model_cal_13.e:1:0.6",72.2244658334866,6.67275191089207,58.5084278438874,85.9405038230857
"model_cal_14.e:1:0.2",65.0495579845316,1.68822650949662,61.6222759629201,68.4768400061431
"model_cal_14.e:1:0.3",67.3526591249655,1.80425599969538,63.6898247153906,71.0154935345403
"model_cal_14.e:1:0.4",70.243851607186,3.31504159717006,63.5139593782914,76.9737438360807
"model_cal_14.e:1:0.5",NA,NA,NA,NA
"model_cal_14.e:1:0.6",NA,NA,NA,NA
"model_cal_15.e:1:0.2",66.8333015353065,7.14212357664672,52.2260186885738,81.4405843820392
"model_cal_15.e:1:0.3",69.5489746771162,8.15493039368647,52.8702693064197,86.2276800478127
"model_cal_15.e:1:0.4",71.7480131573852,9.02351464587106,53.2928535274312,90.2031727873393
"model_cal_15.e:1:0.5",73.647200845106,9.80419180368323,53.5953771510586,93.6990245391534
"model_cal_15.e:1:0.6",75.3601297173446,10.5303007145908,53.8232465552922,96.897012879397
"model_cal_16.e:1:0.2",65.6004176096627,0.738273596504643,64.0904785660875,67.1103566532379
"model_cal_16.e:1:0.3",66.3591024996546,1.01306690215408,64.2871480419055,68.4310569574037
"model_cal_16.e:1:0.4",67.2389046471943,1.45143645309934,64.2703837896436,70.207425504745
"model_cal_16.e:1:0.5",68.3980460369267,2.10254944804287,64.0978495817396,72.6982424921137
"model_cal_16.e:1:0.6",70.3557022224015,3.27937976804697,63.6486175129816,77.0627869318215
"model_cal_17.e:1:0.2",68.2650581422941,2.80041410371463,62.579915267959,73.9502010166292
"model_cal_17.e:1:0.3",71.0304140646869,3.74610774179386,63.4254110379912,78.6354170913826
"model_cal_17.e:1:0.4",74.1038350948475,4.98698658739171,63.9797140857055,84.2279561039895
"model_cal_17.e:1:0.5",77.8696338716036,6.66606188234572,64.3368087940461,91.402458949161
"model_cal_17.e:1:0.6",83.1618893027687,9.22202585644158,64.440181497077,101.88359710846
"model_cal_18.e:1:0.2",66.6309494880393,2.82511683924219,60.852936785933,72.4089621901457
"model_cal_18.e:1:0.3",67.6172202932569,4.24702382222463,58.9310812811993,76.3033593053144
"model_cal_18.e:1:0.4",NA,NA,NA,NA
"model_cal_18.e:1:0.5",NA,NA,NA,NA
"model_cal_18.e:1:0.6",NA,NA,NA,NA
"model_cal_19.e:1:0.2",65.0896864754929,NA,NA,NA
"model_cal_19.e:1:0.3",66.6164113637057,NA,NA,NA
"model_cal_19.e:1:0.4",67.7060070533552,NA,NA,NA
"model_cal_19.e:1:0.5",68.5647953152896,NA,NA,NA
"model_cal_19.e:1:0.6",69.2806998475487,NA,NA,NA
"model_cal_20.e:1:0.2",62.5142369318753,6.69925001316238,48.8127322248977,76.2157416388529
"model_cal_20.e:1:0.3",66.1235033885858,9.87861065998533,45.9194760436957,86.3275307334759
"model_cal_20.e:1:0.4",69.2312316746982,12.8420929166493,42.9662025745446,95.4962607748517
"model_cal_20.e:1:0.5",72.1614990212282,15.77875399781,39.8903236289873,104.432674413469
"model_cal_20.e:1:0.6",75.0695262877157,18.8101565419103,36.5984365550444,113.540616020387
