species,population,heat_treatment,replicate,total_seeds,germinated_seeds,empty_seeds
CSA,11,70,III,25,8,
CSA,11,75,I,25,12,
CSA,11,75,II,25,10,
CSA,11,75,III,25,13,
CSA,11,80,I,25,15,
CSA,11,80,II,25,17,
CSA,11,80,III,25,13,
CSA,11,85,I,25,20,
CSA,11,85,II,25,20,
CSA,11,85,III,25,17,
CSA,11,90,I,25,17,
CSA,11,90,II,25,20,
CSA,11,90,III,25,17,
CSA,11,95,I,25,24,
CSA,11,95,II,25,22,
CSA,11,95,III,25,18,
CSA,11,100,I,25,22,
CSA,11,100,II,25,23,
CSA,11,100,III,25,19,
CSA,11,105,I,25,16,
CSA,11,105,II,25,20,
CSA,11,105,III,25,21,
CSA,11,110,I,25,19,
CSA,11,110,II,25,12,
CSA,11,110,III,25,12,
CSA,11,115,I,25,12,
CSA,11,115,II,25,18,
CSA,11,115,III,25,13,
CSA,11,120,I,25,13,
CSA,11,120,II,25,9,
CSA,11,120,III,25,13,
CAL,1,30,I,25,8,
CAL,1,30,II,25,9,1
CAL,1,30,III,25,12,
CAL,1,35,I,25,10,
CAL,1,35,II,25,7,1
CAL,1,35,III,25,8,2
CAL,1,40,I,25,13,
CAL,1,40,II,25,9,1
CAL,1,40,III,25,12,1
CAL,1,45,I,25,8,
CAL,1,45,II,25,6,1
CAL,1,45,III,25,6,1
CAL,1,50,I,25,7,
CAL,1,50,II,25,13,
CAL,1,50,III,25,7,1
CAL,1,55,I,25,1,
CAL,1,55,II,25,4,5
CAL,1,55,III,25,8,1
CAL,1,60,I,25,9,
CAL,1,60,II,25,10,2
CAL,1,60,III,25,9,4
CAL,1,65,I,25,9,1
CAL,1,65,II,25,15,1
CAL,1,65,III,25,12,
CAL,1,70,I,25,12,1
CAL,1,70,II,25,18,1
CAL,1,70,III,25,18,1
CAL,1,75,I,25,16,5
CAL,1,75,II,25,17,3
CAL,1,75,III,25,16,3
CAL,1,80,I,25,22,2
CAL,1,80,II,25,18,1
CAL,1,80,III,25,20,2
CAL,1,85,I,25,16,3
CAL,1,85,II,25,19,3
CAL,1,85,III,25,22,2
CAL,1,90,I,25,17,2
CAL,1,90,II,25,18,2
CAL,1,90,III,25,17,2
CAL,1,95,I,25,18,2
CAL,1,95,II,25,18,
CAL,1,95,III,25,16,2
CAL,1,100,I,24,13,2
CAL,1,100,II,25,13,2
CAL,1,100,III,25,11,3
CAL,1,105,I,25,9,
CAL,1,105,II,25,9,
CAL,1,105,III,25,4,
CAL,1,110,I,25,4,
CAL,1,110,II,25,2,
CAL,1,110,III,25,6,
CAL,1,115,I,25,1,
CAL,1,115,II,25,6,
CAL,1,115,III,25,1,
CAL,1,120,I,25,0,
CAL,1,120,II,25,1,
CAL,1,120,III,25,0,
CAL,2,30,I,25,10,
CAL,2,30,II,25,6,3
CAL,2,30,III,25,12,2
CAL,2,35,I,25,10,
CAL,2,35,II,25,12,2
CAL,2,35,III,25,5,
CAL,2,40,I,25,9,
CAL,2,40,II,25,13,
CAL,2,40,III,25,13,
CAL,2,45,I,25,13,
CAL,2,45,II,25,13,1
CAL,2,45,III,25,11,
CAL,2,50,I,25,11,
CAL,2,50,II,25,9,2
CAL,2,50,III,25,8,1
CAL,2,55,I,25,11,
CAL,2,55,II,25,10,1
CAL,2,55,III,25,14,1
CAL,2,60,I,25,10,1
CAL,2,60,II,25,11,1
CAL,2,60,III,25,12,
CAL,2,65,I,25,16,
CAL,2,65,II,25,17,2
CAL,2,65,III,25,21,1
CAL,2,70,I,25,17,2
CAL,2,70,II,25,21,1
CAL,2,70,III,25,22,1
CAL,2,75,I,25,20,
CAL,2,75,II,25,19,1
CAL,2,75,III,25,20,2
CAL,2,80,I,25,22,2
CAL,2,80,II,25,24,
CAL,2,80,III,25,21,4
CAL,2,85,I,25,22,2
CAL,2,85,II,24,22,2
CAL,2,85,III,25,24,1
CAL,2,90,I,25,23,1
CAL,2,90,II,25,22,2
CAL,2,90,III,25,22,1
